BIAS TYPE,Category,Geometry,Incident Date,Number of Records,OFFENSE GROUP,OFFENSE CATEGORY,Reported Offense,Neighborho,Precinct
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/20/2018,1,Society,Threats,THREATS-KILL,BITTERLAKE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/16/2018,1,Society,Property Damage,PROPERTY DAMAGE-RESIDENTIAL,GREENWOOD,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/15/2018,1,Person,Assault,ASSLT-AGG-WEAPON,BITTERLAKE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/5/2018,1,Person,Assault,ASSLT-NONAGG,BITTERLAKE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/15/2018,1,Society,Threats,THREATS-KILL,BITTERLAKE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/20/2018,1,Person,Assault,ASSLT-NONAGG,NORTHGATE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/2/2018,1,Person,Assault,ASSLT-AGG-WEAPON,NORTHGATE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/14/2018,1,Property,Theft,THEFT-SHOPLIFT,NORTHGATE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/25/2018,1,Society,Threats,THREATS-WEAPON,NORTHGATE,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/31/2018,1,Person,Assault,ASSLT-NONAGG,UNIVERSITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/1/2018,1,Person,Assault,ASSLT-NONAGG,UNIVERSITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/19/2018,1,Person,Assault,ASSLT-NONAGG,UNIVERSITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/25/2018,1,Person,Robbery,ROBBERY-BUSINESS-WEAPON,UNIVERSITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/16/2018,1,Society,Threats,THREATS-OTHER,UNIVERSITY,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/14/2018,1,Property,Theft,THEFT-SHOPLIFT,ROOSEVELT/RAVENNA,N
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/15/2018,1,Burglary,Burglary,BURGLARY-FORCE-RES,SANDPOINT,N
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/16/2018,1,Person,Assault,ASSLT-NONAGG,LAKECITY,N
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/18/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,BITTERLAKE,N
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/7/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,ROOSEVELT/RAVENNA,N
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/1/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,ROOSEVELT/RAVENNA,N
