2012,2013,2014,2015,2018,BEAT,BIAS TYPE,Bias Category (Sheet1),Bias,2017,Placeholder,Incomplete Qtr,Conditional Formatting,2016,Row Total,"""""",Category,Definition,GO Number,Geometry,Incident Date,Mcpp,New Offense Label?,Number of Records,OFFENSE GROUP,PRECINCT,OFFENSE GROUP.,OFFENSE CATEGORY,Reported Offense,Sheet,Specific Bias Type,Table Name,Neighborho,Precinct,St Area Sh,St Length
0,0,0,0,1,U1,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-55611,POLYGON,2/14/2018,UNIVERSITY,N,1,Society,NORTH,Property,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,2018,Gay,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,U2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-82569,POLYGON,3/7/2018,UNIVERSITY,N,1,Burglary,NORTH,Property,Burglary,BURGLARY-NOFORCE-NONRES,2018,Gay/Lesbian,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,U2,LGBTQ Only,,Transgender,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-389433,POLYGON,10/17/2018,UNIVERSITY,N,1,Society,NORTH,Society,Harassment,HARASSMENT,2018,Transgender,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,U2,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-65696,POLYGON,2/22/2018,UNIVERSITY,N,1,Property,NORTH,Property,Theft,THEFT-SHOPLIFT,2018,Gay,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,U2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-217657,POLYGON,6/15/2018,UNIVERSITY,N,1,Society,NORTH,Society,Threats,THREATS-OTHER,2018,Gay/Lesbian,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,U2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-316820,POLYGON,8/25/2018,UNIVERSITY,N,1,Society,NORTH,Society,Threats,THREATS-OTHER,2018,Gay/Lesbian,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,U2,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-359098,POLYGON,9/25/2018,UNIVERSITY,N,1,Society,NORTH,Society,Threats,THREATS-OTHER,2018,Gay/Lesbian,2018,UNIVERSITY,N,53849611.47,34115.55986
0,0,0,0,1,B2,Multiple Categories,,Other Race/Ethnicity/Ancestry,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-408272,POLYGON,10/31/2018,FREMONT,N,1,Person,NORTH,Person,Robbery,ROBBERY-BUSINESS-WEAPON,2018,Other Race/Ethnicity/Ancestry,2018,FREMONT,N,28202699.91,27946.25541
0,0,0,0,1,L2,Multiple Categories,,Other Race/Ethnicity/Ancestry,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-185005,POLYGON,5/23/2018,NORTHGATE,N,1,Society,NORTH,Property,Property Damage,PROPERTY DAMAGE - GRAFFITI,2018,Other Race/Ethnicity/Ancestry,2018,NORTHGATE,N,132689323.6,51398.03811
0,0,0,0,1,N3,Multiple Categories,,Other Race/Ethnicity/Ancestry,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-235302,POLYGON,6/27/2018,BITTERLAKE,N,1,Person,NORTH,Person,Assault,ASSLT-NONAGG,2018,Other Race/Ethnicity/Ancestry,2018,BITTERLAKE,N,92314813.72,43678.57557
